2021-11-11 10:53:30+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Agnese,,66,26,19
2021-11-11 10:46:23+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Anderss,,66,182,5093
2021-11-11 10:42:18+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Martins,,66,20,323
2021-11-11 10:38:59+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Gaumigs Joks The Real One,,66,194,5898
2021-11-11 10:35:48+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Ivonna Zee,,66,28,9
2021-11-11 10:19:39+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Dace Milberga,Latvia,66,1933,16903
2021-11-11 10:08:40+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Liene Kupča,"Riga, Latvia",66,1570,4455
2021-11-11 10:06:26+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Uģis Lapiņš 🇱🇻🤝🇱🇻,Beverīna,66,741,20764
2021-11-11 09:59:37+00:00,"Vai esi gatavs iekarot Saūda Arābijas tirgu ar Vervo palīdzību? 😎🚛🇸🇦

9. novembra sēdē Ministru kabinets nolēma nos… https://t.co/BEUH05KkKI",[],Kravu pārvadājumi,"Rīga, Latvija",0,1861,4674
2021-11-11 09:55:52+00:00,"Lai būtu svētki, vajag pavisam maz. Sāc ar prieku un lepnumu par brīvu Latviju! 
Sveiciens Lāčplēša dienā!
#Latvija… https://t.co/gslDmhsrhV",['Latvija'],Stud! korp! Selga,"Rīga, Latvija",0,330,1255
2021-11-11 09:50:40+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Ina,,66,344,2430
2021-11-11 09:46:33+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Artis Kamals,"Riga, Latvia",66,970,8445
2021-11-11 09:34:55+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Mans Dievs,Latvia,66,355,4732
2021-11-11 09:32:39+00:00,"Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",KristapsVX Liepiņš,"Latvia, Riga",66,4825,9227
2021-11-11 09:09:04+00:00,"RT @LeonidsKalnins: 🇱🇻Sveicu Lāčplēša dienā!🇱🇻
Spēcīgi bruņotie spēki, droša un aizsargāta Latvija!

Saite uz video apsveikuma pilno versij…",[],AE #paliecmājās🎄,Riga,9,4286,642711
2021-11-11 08:10:30+00:00,RT @1188: Kad vajadzētu izkārt karogu? https://t.co/VxAT7jzEwi #Latvija #karogs,"['Latvija', 'karogs']",AE #paliecmājās🎄,Riga,1,4286,642711
2021-11-11 07:59:32+00:00,"RT @LeonidsKalnins: 🇱🇻Sveicu Lāčplēša dienā!🇱🇻
Spēcīgi bruņotie spēki, droša un aizsargāta Latvija!

Saite uz video apsveikuma pilno versij…",[],ir_una,,9,32,1773
2021-11-11 07:47:44+00:00,"RT @LeonidsKalnins: 🇱🇻Sveicu Lāčplēša dienā!🇱🇻
Spēcīgi bruņotie spēki, droša un aizsargāta Latvija!

Saite uz video apsveikuma pilno versij…",[],Anderss,,9,182,5093
2021-11-11 07:42:33+00:00,"RT @LeonidsKalnins: 🇱🇻Sveicu Lāčplēša dienā!🇱🇻
Spēcīgi bruņotie spēki, droša un aizsargāta Latvija!

Saite uz video apsveikuma pilno versij…",[],🇱🇻🇪🇺🇱🇻,,9,43,1140
2021-11-11 07:25:18+00:00,"11.novembrī – Lāčplēša dienā, aizdedzot svecītes, godinām Latvijas brīvības cīnītājus.

#lāčplēšadiena #latvija https://t.co/0j07bNbuso","['lāčplēšadiena', 'latvija']",Latvia in the Netherlands 🇱🇻,"The Hague, The Netherlands",0,275,450
2021-11-11 07:23:40+00:00,Krievijas vēstniecības Latvijā komentārs saistībā ar aizlieguma virzību Latvijas Saeimā pret vienu no Uzvaras Liela… https://t.co/Y5aykVTn6J,[],Посольство РФ в ЛР,"Рига, Латвия - Rīga, Latvija",0,6855,17542
